,,,
,,,
,,,
District,LAT,LONG,TECHNOLOGY
Bombali,8.882017,-12.044066,2G/3G/4G
Tonkolili,8.716957,-11.943287,2G/3G/4G
Tonkolili,8.653302,-11.857798,2G/3G
Kono,8.641523,-10.977021,2G/3G/4G
Kono,8.552218,-10.932373,2G/3G
Tonkolili,8.990004,-11.710412,2G/3G
Tonkolili,9.011500,-11.713900,2G/3G
Bo,7.591620,-11.657200,2G/3G
Kenema,7.872666,-11.340245,2G/3G/4G
Bo,7.977210,-11.754700,2G/3G/4G
Bo,7.961430,-11.741700,2G/3G/4G
Bo,7.932629,-11.587257,2G/3G
Kenema,7.856600,-11.217400,2G/3G
Kenema,7.883790,-11.189700,2G/3G/4G
Bo,7.708192,-11.692589,2G/3G
Moyamba,8.032308,-12.094530,2G/3G
Tonkolili,8.461528,-12.214807,2G/3G/4G
Moyamba,7.897972,-12.196115,2G/3G
Moyamba,8.325741,-12.216138,2G/3G
Pujehun,7.504750,-11.477825,2G/3G
Pujehun,7.350478,-11.717965,2G/3G/4G
Bonthe,7.763600,-12.304706,2G/3G/4G
Moyamba,8.200339,-12.057484,2G/3G
Bo,7.880255,-11.781951,2G/3G
Kenema,7.999998,-11.283268,2G/3G
Pujehun,7.315155,-11.306095,2G/3G
Bo,7.949889,-11.738791,2G/3G/4G
Bo,8.108777,-11.847847,2G/3G
Moyamba,8.110086,-12.075111,2G/3G
Bo,7.933343,-11.766623,2G/3G/4G
Bo,7.968343,-11.755337,2G/3G/4G
Kenema,7.877740,-11.180120,2G/3G/4G
Bo,7.940896,-11.726057,2G/3G
Kenema,7.863969,-11.196261,2G/3G/4G
Bo,7.974809,-11.729695,2G/3G/4G
Bonthe,7.604225,-12.171858,2G/3G/4G
Kenema,8.041470,-11.104120,2G/3G
Tonkolili,8.417190,-11.842890,2G/3G
Kenema,7.940300,-11.142090,2G/3G
Tonkolili,8.859650,-11.815740,2G/3G
Western Area (Urban),8.471940,-13.215700,2G/3G/4G
Kono,8.540946,-11.242381,2G/3G
Kono,8.627185,-10.979262,2G/3G/4G
Bombali,8.892060,-12.038593,2G/3G
Bombali,8.875614,-12.038043,2G/3G
Pujehun,7.432241,-11.841467,2G/3G
Bonthe,7.750072,-12.330628,2G/3G/4G
Western Area (Urban),8.483741,-13.256992,2G/3G/4G
