,,,
LONGITUDE,LATITUDE,CHIEFDOM,DISTRICT
-12.23101,8.71274,Mara,Bombali
-12.23101,8.71274,Mara,Bombali
-12.23101,8.71274,Mara,Bombali
-12.23101,8.71274,Mara,Bombali
-12.23101,8.71274,Mara,Bombali
-12.23101,8.71274,Mara,Bombali
-11.933689,8.721147,Kholifa Rowala,Tonkolili
-11.933689,8.721147,Kholifa Rowala,Tonkolili
-11.933689,8.721147,Kholifa Rowala,Tonkolili
-11.933689,8.721147,Kholifa Rowala,Tonkolili
-11.933689,8.721147,Kholifa Rowala,Tonkolili
-11.933689,8.721147,Kholifa Rowala,Tonkolili
-11.9729,8.95755,Safroko Limba,Bombali
-11.9729,8.95755,Safroko Limba,Bombali
-11.9729,8.95755,Safroko Limba,Bombali
-11.73683,9.05914,Kalanthuba,Tonkolili
-11.73683,9.05914,Kalanthuba,Tonkolili
-11.73683,9.05914,Kalanthuba,Tonkolili
-11.73683,9.05914,Kalanthuba,Tonkolili
-11.73683,9.05914,Kalanthuba,Tonkolili
-11.73683,9.05914,Kalanthuba,Tonkolili
-11.71391,9.01114,Dansogola,Tonkolili
-11.71391,9.01114,Dansogola,Tonkolili
-11.71391,9.01114,Dansogola,Tonkolili
-11.71391,9.01114,Dansogola,Tonkolili
-11.71391,9.01114,Dansogola,Tonkolili
-11.71391,9.01114,Dansogola,Tonkolili
-12.202203,9.102615,Gbendembu ,Bombali
-12.202203,9.102615,Gbendembu ,Bombali
-12.202203,9.102615,Gbendembu ,Bombali
-12.16259,9.0316,Ngowahun,Bombali
-12.16259,9.0316,Ngowahun,Bombali
-12.16259,9.0316,Ngowahun,Bombali
-11.960528,9.148222,Biriwa,Bombali
-11.960528,9.148222,Biriwa,Bombali
-11.960528,9.148222,Biriwa,Bombali
-11.960528,9.148222,Biriwa,Bombali
-11.960528,9.148222,Biriwa,Bombali
-11.960528,9.148222,Biriwa,Bombali
-11.890311,9.332175,Biriwa,Bombali
-11.890311,9.332175,Biriwa,Bombali
-11.890311,9.332175,Biriwa,Bombali
-12.05763,8.89403,Gbanti,Bombali
-12.05763,8.89403,Gbanti,Bombali
-12.05763,8.89403,Gbanti,Bombali
-11.81565,8.85966,Simiria,Tonkolili
-11.81565,8.85966,Simiria,Tonkolili
-11.81565,8.85966,Simiria,Tonkolili
-11.83698,8.5534,Gbonkolenken,Tonkolili
-11.83698,8.5534,Gbonkolenken,Tonkolili
-11.83698,8.5534,Gbonkolenken,Tonkolili
-12.07845,8.88269,Makari,Bombali
-12.07845,8.88269,Makari,Bombali
-12.07845,8.88269,Makari,Bombali
-12.486421,8.46571,Masimera,Tonkolili
-12.486421,8.46571,Masimera,Tonkolili
-12.486421,8.46571,Masimera,Tonkolili
-11.95123,8.72257,Kholifa Rowala,Tonkolili
-11.95123,8.72257,Kholifa Rowala,Tonkolili
-11.95123,8.72257,Kholifa Rowala,Tonkolili
-11.68906,8.63387,Konike Barina,Tonkolili
-11.68906,8.63387,Konike Barina,Tonkolili
-11.68906,8.63387,Konike Barina,Tonkolili
-12.052746,8.86149,Bombali Sebora,Bombali
-12.052746,8.86149,Bombali Sebora,Bombali
-12.052746,8.86149,Bombali Sebora,Bombali
-12.05488,8.87519,Bombali Sebora,Bombali
-12.05488,8.87519,Bombali Sebora,Bombali
-12.05488,8.87519,Bombali Sebora,Bombali
-12.04982,8.88332,Bombali Sebora,Bombali
-12.04982,8.88332,Bombali Sebora,Bombali
-12.04982,8.88332,Bombali Sebora,Bombali
-12.21245,8.83832,Makari,Bombali
-12.21245,8.83832,Makari,Bombali
-12.21245,8.83832,Makari,Bombali
-11.880083,8.667809,Tane,Tonkolili
-11.880083,8.667809,Tane,Tonkolili
-11.880083,8.667809,Tane,Tonkolili
-11.95771,9.2056,Biriwa,Bombali
-11.95771,9.2056,Biriwa,Bombali
-11.95771,9.2056,Biriwa,Bombali
-11.47787,8.63709,Konike Sanda,Tonkolili
-11.47787,8.63709,Konike Sanda,Tonkolili
-11.47787,8.63709,Konike Sanda,Tonkolili
-12.1145,8.874225,Makari,Bombali
-12.1145,8.874225,Makari,Bombali
-12.1145,8.874225,Makari,Bombali
-11.842489,8.75024,Kholifa Rowala,Tonkolili
-11.842489,8.75024,Kholifa Rowala,Tonkolili
-11.842489,8.75024,Kholifa Rowala,Tonkolili
-11.842489,8.75024,Kholifa Rowala,Tonkolili
-11.842489,8.75024,Kholifa Rowala,Tonkolili
-11.842489,8.75024,Kholifa Rowala,Tonkolili
-12.040111,8.89097,Bombali Sebora,Bombali
-12.040111,8.89097,Bombali Sebora,Bombali
-12.040111,8.89097,Bombali Sebora,Bombali
-11.729738,8.833215,Simiria,Tonkolili
-11.729738,8.833215,Simiria,Tonkolili
-11.729738,8.833215,Simiria,Tonkolili
-11.729738,8.833215,Simiria,Tonkolili
-11.729738,8.833215,Simiria,Tonkolili
-11.729738,8.833215,Simiria,Tonkolili
-12.39533,8.47683,Yoni Mamaila,Tonkolili
-12.39533,8.47683,Yoni Mamaila,Tonkolili
-12.39533,8.47683,Yoni Mamaila,Tonkolili
-12.39533,8.47683,Yoni Mamaila,Tonkolili
-12.39533,8.47683,Yoni Mamaila,Tonkolili
-12.39533,8.47683,Yoni Mamaila,Tonkolili
-12.215114,8.465835,Yoni Mamaila,Tonkolili
-12.215114,8.465835,Yoni Mamaila,Tonkolili
-12.215114,8.465835,Yoni Mamaila,Tonkolili
-12.215114,8.465835,Yoni Mamaila,Tonkolili
-12.215114,8.465835,Yoni Mamaila,Tonkolili
-12.215114,8.465835,Yoni Mamaila,Tonkolili
-12.03279,8.92184,Gbanti,Bombali
-12.03279,8.92184,Gbanti,Bombali
-12.03279,8.92184,Gbanti,Bombali
-12.428994,8.375754,Yoni,Tonkolili
-12.428994,8.375754,Yoni,Tonkolili
-12.428994,8.375754,Yoni,Tonkolili
-11.99594,8.773849,Bombali Siari,Bombali
-11.99594,8.773849,Bombali Siari,Bombali
-11.99594,8.773849,Bombali Siari,Bombali
-11.496597,9.066816,Sambaya,Tonkolili
-11.496597,9.066816,Sambaya,Tonkolili
-11.496597,9.066816,Sambaya,Tonkolili
-11.496597,9.066816,Sambaya,Tonkolili
-11.496597,9.066816,Sambaya,Tonkolili
-12.037307,8.867353,Bombali Sebora,Bombali
-12.037307,8.867353,Bombali Sebora,Bombali
-12.037307,8.867353,Bombali Sebora,Bombali
-12.0355,8.88046,Bombali Sebora,Bombali
-12.0355,8.88046,Bombali Sebora,Bombali
-12.0355,8.88046,Bombali Sebora,Bombali
-12.032643,8.901674,Gbanti,Bombali
-12.032643,8.901674,Gbanti,Bombali
-12.032643,8.901674,Gbanti,Bombali
-12.04455,8.89231,Bombali Sebora,Bombali
-12.04455,8.89231,Bombali Sebora,Bombali
-12.04455,8.89231,Bombali Sebora,Bombali
-11.84287,8.41715,Yele,Tonkolili
-11.84287,8.41715,Yele,Tonkolili
-11.84287,8.41715,Yele,Tonkolili
-11.84287,8.41715,Yele,Tonkolili
-11.84287,8.41715,Yele,Tonkolili
-11.84287,8.41715,Yele,Tonkolili
-11.8186,8.44612,Yele,Tonkolili
-11.8186,8.44612,Yele,Tonkolili
-11.8186,8.44612,Yele,Tonkolili
-12.04417,8.88233,Bombali Sebora,Bombali
-12.04417,8.88233,Bombali Sebora,Bombali
-12.04417,8.88233,Bombali Sebora,Bombali
-11.9666,8.454888,Gbonkolenken,Tonkolili
-11.9666,8.454888,Gbonkolenken,Tonkolili
-11.9666,8.454888,Gbonkolenken,Tonkolili
-12.023828,8.859136,Bombali Sebora,Bombali
-12.023828,8.859136,Bombali Sebora,Bombali
-12.023828,8.859136,Bombali Sebora,Bombali
-12.20722,9.30919,Kamaranka,Bombali
-12.20722,9.30919,Kamaranka,Bombali
-12.20722,9.30919,Kamaranka,Bombali
-12.05403,8.9415,Gbanti,Bombali
-12.05403,8.9415,Gbanti,Bombali
-12.05403,8.9415,Gbanti,Bombali
-11.968204,8.544316,Gbonkolenken,Tonkolili
-11.968204,8.544316,Gbonkolenken,Tonkolili
-11.968204,8.544316,Gbonkolenken,Tonkolili
-12.0593,9.083494,Gbendembu,Bombali
-12.0593,9.083494,Gbendembu,Bombali
-12.0593,9.083494,Gbendembu,Bombali
-12.242862,8.470531,Yoni Mamaila,Tonkolili
-12.242862,8.470531,Yoni Mamaila,Tonkolili
-12.242862,8.470531,Yoni Mamaila,Tonkolili
-12.13587,8.35306,Yoni Mamaila,Tonkolili
-12.13587,8.35306,Yoni Mamaila,Tonkolili
-12.13587,8.35306,Yoni Mamaila,Tonkolili
-11.99278,8.39983,Yele,Tonkolili
-11.99278,8.39983,Yele,Tonkolili
-11.99278,8.39983,Yele,Tonkolili
-11.952658,9.257967,Biriwa,Bombali
-11.952658,9.257967,Biriwa,Bombali
-11.952658,9.257967,Biriwa,Bombali
