,LONGITUDE,LATITUDE,CHIEFDOM,DISTRICT
0,LONGITUDE,LATITUDE,CHIEFDOM,DISTRICT
1,-12.23101,8.71274,Mara,Bombali
2,-12.23101,8.71274,Mara,Bombali
3,-12.23101,8.71274,Mara,Bombali
4,-12.23101,8.71274,Mara,Bombali
5,-12.23101,8.71274,Mara,Bombali
6,-12.23101,8.71274,Mara,Bombali
7,-11.933689,8.721147,Kholifa Rowala,Tonkolili
8,-11.933689,8.721147,Kholifa Rowala,Tonkolili
9,-11.933689,8.721147,Kholifa Rowala,Tonkolili
10,-11.933689,8.721147,Kholifa Rowala,Tonkolili
11,-11.933689,8.721147,Kholifa Rowala,Tonkolili
12,-11.933689,8.721147,Kholifa Rowala,Tonkolili
13,-11.9729,8.95755,Safroko Limba,Bombali
14,-11.9729,8.95755,Safroko Limba,Bombali
15,-11.9729,8.95755,Safroko Limba,Bombali
16,-11.73683,9.05914,Kalanthuba,Tonkolili
17,-11.73683,9.05914,Kalanthuba,Tonkolili
18,-11.73683,9.05914,Kalanthuba,Tonkolili
19,-11.73683,9.05914,Kalanthuba,Tonkolili
20,-11.73683,9.05914,Kalanthuba,Tonkolili
21,-11.73683,9.05914,Kalanthuba,Tonkolili
22,-11.71391,9.01114,Dansogola,Tonkolili
23,-11.71391,9.01114,Dansogola,Tonkolili
24,-11.71391,9.01114,Dansogola,Tonkolili
25,-11.71391,9.01114,Dansogola,Tonkolili
26,-11.71391,9.01114,Dansogola,Tonkolili
27,-11.71391,9.01114,Dansogola,Tonkolili
28,-12.202203,9.102615,Gbendembu ,Bombali
29,-12.202203,9.102615,Gbendembu ,Bombali
30,-12.202203,9.102615,Gbendembu ,Bombali
31,-12.16259,9.0316,Ngowahun,Bombali
32,-12.16259,9.0316,Ngowahun,Bombali
33,-12.16259,9.0316,Ngowahun,Bombali
34,-11.960528,9.148222,Biriwa,Bombali
35,-11.960528,9.148222,Biriwa,Bombali
36,-11.960528,9.148222,Biriwa,Bombali
37,-11.960528,9.148222,Biriwa,Bombali
38,-11.960528,9.148222,Biriwa,Bombali
39,-11.960528,9.148222,Biriwa,Bombali
40,-11.890311,9.332175,Biriwa,Bombali
41,-11.890311,9.332175,Biriwa,Bombali
42,-11.890311,9.332175,Biriwa,Bombali
43,-12.05763,8.89403,Gbanti,Bombali
44,-12.05763,8.89403,Gbanti,Bombali
45,-12.05763,8.89403,Gbanti,Bombali
46,-11.81565,8.85966,Simiria,Tonkolili
47,-11.81565,8.85966,Simiria,Tonkolili
48,-11.81565,8.85966,Simiria,Tonkolili
49,-11.83698,8.5534,Gbonkolenken,Tonkolili
50,-11.83698,8.5534,Gbonkolenken,Tonkolili
51,-11.83698,8.5534,Gbonkolenken,Tonkolili
52,-12.07845,8.88269,Makari,Bombali
53,-12.07845,8.88269,Makari,Bombali
54,-12.07845,8.88269,Makari,Bombali
55,-12.486421,8.46571,Masimera,Tonkolili
56,-12.486421,8.46571,Masimera,Tonkolili
57,-12.486421,8.46571,Masimera,Tonkolili
58,-11.95123,8.72257,Kholifa Rowala,Tonkolili
59,-11.95123,8.72257,Kholifa Rowala,Tonkolili
60,-11.95123,8.72257,Kholifa Rowala,Tonkolili
