Timestamp,Age?,Gender: ,Educational Background?,Occupation?,Please select your location based on your  District: ,Select  CHIEFDOM for BOMBALI  DISTRICT.,Select CHIEFDOM  for TONKOLILI DISTRICT.,Do you have access to the internet in your area? ,How often do you experience internet connectivity issues? ,"On average, how many hours per day do you use the internet? ",What types of internet-connected devices do you use?  (You may choose more than one) ,Which mobile network provider do you use? ,How satisfied are you with the internet/mobile services provided by your current network? ,What factors influence your choice of mobile network provider? (You may choose more than one) ,What are the main challenges you face in accessing the internet in rural areas? (You may choose more than one) ,Are there specific locations where internet connectivity is particularly poor? (You may choose more than one) ,How do internet connectivity issues affect your daily life or work? (You may choose more than one) ,What improvements would you like to see in terms of internet connectivity and mobile services in your area? (You may choose more than one) ,Are there specific services or applications you are unable to access due to connectivity issues? (You may choose more than one) ,How important is reliable internet access for economic development and community empowerment in rural areas? ,"Are you aware of the advancements in mobile network technology such as 4G, 5G, or 6G? ",Have you experienced any differences in internet speed or quality when using these advanced technologies? ,Do you believe the implementation of 4G/5G/6G could address connectivity challenges in rural areas? ,Have there been any initiatives or projects in your community aimed at improving internet connectivity? ,How involved are local authorities or community leaders in addressing connectivity issues? ,"Do you believe collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity? ",What are your expectations for the future of internet connectivity and mobile services in rural Sierra Leone? (You may choose more than one) ,How do you envision technology shaping rural development and connectivity in the coming years? (You may choose more than one) ,Academia:,Industry:,Government:,Do you have any suggestions for improving internet connectivity and mobile services in rural areas?,"Any additional comments or feedback regarding rural connectivity in Sierra Leone?
Please Specify ",,
2024/03/28 12:49:25 AM GMT+8,30 - 39,Female,Secondary,Civil servants ,Bombali,,,Yes,Frequently (Once a week or more),More than 8 hours,Smartphone;Laptop;Smart TV;Smartwatch,Orange,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality,Limited or Unreliable Connectivity;Lack of Infrastructure;Power Supply Issues;Limited Choice of Service Providers,Marketplaces;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Limited access to educational resources or online learning","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Introduction of New Technologies (e.g., 5G/6G)",,Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Enhanced digital literacy programs to empower rural residents;Support for local businesses and entrepreneurship through improved connectivity","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities",Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,More service providers and better infrastructural development ,Improved internet connectivity access ,,BOMBALI SHEBORA
2024/03/28 10:31:34 PM GMT+8,40 - 49,Male,Tertiary,Engineer,Bombali,BOMBALI SHEBORA,,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop;Tablet;Smartwatch,Orange,Neutral,Coverage and Signal Strength;Data Speed and Quality,Limited or Unreliable Connectivity;High Costs;Limited Choice of Service Providers,Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls)","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);E-commerce Websites (e.g., Amazon, eBay, Alibaba)",Very Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).",I am not sure.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Collaborate with industry and government to pilot and evaluate new technologies and initiatives.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Allocate funding for the expansion of digital infrastructure in rural areas.,"Improving rural internet connectivity and mobile services necessitates investing in infrastructure like mobile towers and fiber-optic cables, along with offering affordable plans and device subsidies. Implementing digital literacy programmes is crucial for empowering residents, while fostering partnerships between local authorities, telecom companies, and communities can facilitate collaborative solutions addressing connectivity challenges.",Additional comments or feedback regarding rural connectivity in Sierra Leone could emphasize addressing geographical challenges and involving local stakeholders in decision-making for sustainable solutions. Prioritizing rural connectivity is crucial for empowering communities and fostering socio-economic development.,,
2024/03/28 10:31:38 PM GMT+8,40 - 49,Female,Tertiary,Public Health Specialists ,Bombali,MAKARI,,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop;Desktop computer;Smartwatch,Orange,Dissatisfied,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support;Availability of Promotions or Discounts;Network Reputation and Reliability,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs;Limited Choice of Service Providers,"Workplace;Public Spaces (e.g., parks, libraries, bus stations);Community Centers;Healthcare Facilities;Remote Rural Areas","Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);Online Banking and Payment Services;Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,I am not sure.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,No,No,,
2024/03/28 11:24:14 PM GMT+8,40 - 49,Male,Tertiary,Program Officer,Bombali,BOMBALI SHEBORA,,Yes,Frequently (Once a week or more),2-4 hours,Smartphone;Laptop,Africell,Satisfied,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality,Lack of Infrastructure;Power Supply Issues,Home;Workplace;Remote Rural Areas,"Disruption to communication (e.g., email, messaging, video calls);Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots","Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Government Services Portals;",Extremely Important,"I am aware of 4G, but not 5G or 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.",Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Support for local businesses and entrepreneurship through improved connectivity;Promotion of inclusive policies to ensure equitable access to internet services,"Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Collaborate with industry and government to pilot and evaluate new technologies and initiatives.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,My suggestions improving internet connectivity and mobile service remote area and mobilities for fast speed covered,very poor,,
2024/03/29 1:44:54 AM GMT+8,20 - 29,Male,Tertiary,Student ,Bombali,BOMBALI SHEBORA,,Yes,Frequently (Once a week or more),4-6 hours,Smartphone;Laptop;Desktop computer,Africell,Satisfied,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality,Lack of Infrastructure;Limited Choice of Service Providers,School/University,,"Better Coverage and Signal Strength;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G)","Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources",Extremely Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Implementation of telemedicine solutions to improve healthcare access and outcomes",Conduct research to identify innovative solutions for improving rural connectivity.,Develop affordable and tailored internet and mobile service plans for rural communities.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",I suggest the network providers focus in improving network system in hard to reach areas ,No for now ,,
2024/03/29 1:59:04 AM GMT+8,20 - 29,Female,Tertiary,Student ,Bombali,,,Yes,Frequently (Once a week or more),4-6 hours,Smartphone,QCell,Neutral,Price and Affordability;Family or Friends' Recommendations,Limited or Unreliable Connectivity,Home;Remote Rural Areas,Difficulty accessing information or resources online,Better Coverage and Signal Strength;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas,"Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox)",Extremely Important,"I am aware of 4G, but not 5G or 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.",Improvement in internet speed and reliability,"Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity",Develop and implement training programs to enhance digital literacy skills in rural communities.,,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",,,,
2024/03/29 2:29:59 AM GMT+8,20 - 29,Male,Tertiary,Student,Bombali,BOMBALI SHEBORA,,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop,QCell,Neutral,Price and Affordability;Availability of Promotions or Discounts,Limited or Unreliable Connectivity,Home,Impact on productivity or work efficiency,"Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;Introduction of New Technologies (e.g., 5G/6G)","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by non-profit organizations or community groups.",Very involved - Local authorities and community leaders are actively engaged and taking significant steps to address connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.",Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability,"Expansion of digital infrastructure to connect remote rural areas;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Develop affordable and tailored internet and mobile service plans for rural communities.,Allocate funding for the expansion of digital infrastructure in rural areas.,,,,
2024/03/29 2:45:45 AM GMT+8,20 - 29,,Tertiary,Student ,Tonkolili,,SAMBAIA,Yes,Occasionally (2-3 times a month),2-4 hours,Smartphone,Orange,Neutral,Customer Service and Support,Limited or Unreliable Connectivity,Remote Rural Areas,Inability to complete online tasks,Faster Data Speeds,"Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video)",Slightly Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,Very involved - Local authorities and community leaders are actively engaged and taking significant steps to address connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.",Expansion of internet coverage to currently underserved rural areas,"Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity",Conduct research to identify innovative solutions for improving rural connectivity.,Develop affordable and tailored internet and mobile service plans for rural communities.,Implement programs to promote digital literacy and skills training in rural communities.,Government and other stakeholders should involve merely to improve internet connectivity and mobile services in the rural areas.,Poor internet connection,,
2024/03/29 6:25:20 AM GMT+8,20 - 29,Male,Tertiary,Student ,Tonkolili,,YONI MABANTA,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop,QCell,Dissatisfied,Price and Affordability;Availability of Promotions or Discounts;Family or Friends' Recommendations,Limited or Unreliable Connectivity;Power Supply Issues,Home;School/University;Places of Worship;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Reduction of Data Caps or Usage Restrictions,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",,,,
2024/03/29 10:36:02 AM GMT+8,30 - 39,Male,Tertiary,Teaching/Health Officer,Bombali,KAMARANKA,,Yes,Constantly (Daily),6-8 hours,Smartphone;Laptop;Tablet;Smartwatch,Orange,Dissatisfied,Coverage and Signal Strength;Family or Friends' Recommendations,Limited or Unreliable Connectivity;High Costs;Power Supply Issues;Limited Choice of Service Providers,Home;Workplace;School/University;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks;Limited access to educational resources or online learning","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Online Banking and Payment Services",Extremely Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Collaborate with industry and government to pilot and evaluate new technologies and initiatives.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",Government should encourage open space to new investors to deliver quality services.,Rural connectivity should be a priority to service providers.,,
